District,Crime_Type,Year,Total,Prev_Year_Total,YoY_Change,YoY_Pct
Agra,Theft,2015,678,103,575,558.3
Agra,Theft,2016,800,678,122,18.0
Agra,Theft,2017,479,800,-321,-40.1
Agra,Theft,2018,770,479,291,60.8
Agra,Theft,2019,793,770,23,3.0
Agra,Theft,2020,96,793,-697,-87.9
Agra,Theft,2021,750,96,654,681.2
Agra,Theft,2022,1164,750,414,55.2
Agra,Theft,2023,1128,1164,-36,-3.1
Aligarh,Assault,2015,992,133,859,645.9
Aligarh,Assault,2016,428,992,-564,-56.9
Aligarh,Assault,2017,668,428,240,56.1
Aligarh,Assault,2018,452,668,-216,-32.3
Aligarh,Assault,2019,108,452,-344,-76.1
Aligarh,Assault,2020,319,108,211,195.4
Aligarh,Assault,2021,326,319,7,2.2
Aligarh,Assault,2022,580,326,254,77.9
Aligarh,Assault,2023,453,580,-127,-21.9
Aligarh,Burglary,2015,1113,527,586,111.2
Aligarh,Burglary,2016,848,1113,-265,-23.8
Aligarh,Burglary,2017,270,848,-578,-68.2
Aligarh,Burglary,2018,284,270,14,5.2
Aligarh,Burglary,2019,663,284,379,133.5
Aligarh,Burglary,2020,586,663,-77,-11.6
Aligarh,Burglary,2021,862,586,276,47.1
Aligarh,Burglary,2022,324,862,-538,-62.4
Aligarh,Burglary,2023,979,324,655,202.2
Aligarh,Crimes Against Children,2018,728,466,262,56.2
Aligarh,Crimes Against Children,2019,653,728,-75,-10.3
Aligarh,Crimes Against Children,2020,525,653,-128,-19.6
Aligarh,Crimes Against Children,2021,642,525,117,22.3
Aligarh,Crimes Against Children,2022,728,642,86,13.4
Aligarh,Crimes Against Children,2023,385,728,-343,-47.1
Aligarh,Crimes Against SCs,2018,175,144,31,21.5
Aligarh,Crimes Against SCs,2019,158,175,-17,-9.7
Aligarh,Crimes Against SCs,2020,171,158,13,8.2
Aligarh,Crimes Against SCs,2021,212,171,41,24.0
Aligarh,Crimes Against SCs,2022,234,212,22,10.4
Aligarh,Crimes Against SCs,2023,266,234,32,13.7
Aligarh,Crimes Against STs,2016,0,14,-14,-100.0
Aligarh,Crimes Against STs,2018,0,0,0,
Aligarh,Crimes Against STs,2019,0,0,0,
Aligarh,Crimes Against STs,2020,0,0,0,
Aligarh,Crimes Against STs,2021,0,0,0,
Aligarh,Crimes Against STs,2022,0,0,0,
Aligarh,Crimes Against STs,2023,0,0,0,
Aligarh,Crimes Against Women,2018,1497,1024,473,46.2
Aligarh,Crimes Against Women,2019,1598,1497,101,6.7
Aligarh,Crimes Against Women,2020,1600,1598,2,0.1
Aligarh,Crimes Against Women,2021,1860,1600,260,16.2
Aligarh,Crimes Against Women,2022,2453,1860,593,31.9
Aligarh,Crimes Against Women,2023,1707,2453,-746,-30.4
Aligarh,Cyber Crimes,2019,155,58,97,167.2
Aligarh,Cyber Crimes,2020,223,155,68,43.9
Aligarh,Cyber Crimes,2021,196,223,-27,-12.1
Aligarh,Cyber Crimes,2022,154,196,-42,-21.4
Aligarh,Cyber Crimes,2023,183,154,29,18.8
Aligarh,Cybercrime,2015,585,678,-93,-13.7
Aligarh,Cybercrime,2016,520,585,-65,-11.1
Aligarh,Cybercrime,2017,149,520,-371,-71.3
Aligarh,Cybercrime,2018,186,149,37,24.8
Aligarh,Cybercrime,2019,1059,186,873,469.4
Aligarh,Cybercrime,2020,126,1059,-933,-88.1
Aligarh,Cybercrime,2021,1053,126,927,735.7
Aligarh,Cybercrime,2022,1004,1053,-49,-4.7
Aligarh,Cybercrime,2023,124,1004,-880,-87.6
Aligarh,Dowry Deaths,2015,890,403,487,120.8
Aligarh,Dowry Deaths,2016,418,890,-472,-53.0
Aligarh,Dowry Deaths,2017,1102,418,684,163.6
Aligarh,Dowry Deaths,2018,597,1102,-505,-45.8
Aligarh,Dowry Deaths,2019,723,597,126,21.1
Aligarh,Dowry Deaths,2020,942,723,219,30.3
Aligarh,Dowry Deaths,2021,940,942,-2,-0.2
Aligarh,Dowry Deaths,2022,338,940,-602,-64.0
Aligarh,Dowry Deaths,2023,251,338,-87,-25.7
Aligarh,Fraud,2015,1101,1060,41,3.9
Aligarh,Fraud,2016,134,1101,-967,-87.8
Aligarh,Fraud,2017,124,134,-10,-7.5
Aligarh,Fraud,2018,1150,124,1026,827.4
Aligarh,Fraud,2019,916,1150,-234,-20.3
Aligarh,Fraud,2020,193,916,-723,-78.9
Aligarh,Fraud,2021,224,193,31,16.1
Aligarh,Fraud,2022,874,224,650,290.2
Aligarh,Fraud,2023,57,874,-817,-93.5
Aligarh,IPC Crimes,2018,6699,5984,715,11.9
Aligarh,IPC Crimes,2019,7047,6699,348,5.2
Aligarh,IPC Crimes,2020,8451,7047,1404,19.9
Aligarh,IPC Crimes,2021,9255,8451,804,9.5
Aligarh,IPC Crimes,2022,11197,9255,1942,21.0
Aligarh,IPC Crimes,2023,13777,11197,2580,23.0
Aligarh,Juvenile IPC,2019,0,0,0,
Aligarh,Juvenile IPC,2020,0,0,0,
Aligarh,Juvenile IPC,2021,0,0,0,
Aligarh,Juvenile IPC,2022,0,0,0,
Aligarh,Juvenile IPC,2023,0,0,0,
Aligarh,Juvenile SLL,2019,0,0,0,
Aligarh,Juvenile SLL,2020,0,0,0,
Aligarh,Juvenile SLL,2021,0,0,0,
Aligarh,Juvenile SLL,2022,0,0,0,
Aligarh,Juvenile SLL,2023,0,0,0,
Aligarh,Kidnapping,2015,317,493,-176,-35.7
Aligarh,Kidnapping,2016,967,317,650,205.0
Aligarh,Kidnapping,2017,91,967,-876,-90.6
Aligarh,Kidnapping,2018,386,91,295,324.2
Aligarh,Kidnapping,2019,968,386,582,150.8
Aligarh,Kidnapping,2020,734,968,-234,-24.2
Aligarh,Kidnapping,2021,721,734,-13,-1.8
Aligarh,Kidnapping,2022,968,721,247,34.3
Aligarh,Kidnapping,2023,568,968,-400,-41.3
Aligarh,Missing Persons,2019,0,0,0,
Aligarh,Missing Persons,2020,0,0,0,
Aligarh,Missing Persons,2021,178,0,178,inf
Aligarh,Missing Persons,2022,185,178,7,3.9
Aligarh,Missing Persons,2023,0,185,-185,-100.0
Aligarh,Murder,2015,28,1058,-1030,-97.4
Aligarh,Murder,2016,463,28,435,1553.6
Aligarh,Murder,2017,354,463,-109,-23.5
Aligarh,Murder,2018,720,354,366,103.4
Aligarh,Murder,2019,420,720,-300,-41.7
Aligarh,Murder,2020,815,420,395,94.0
Aligarh,Murder,2021,1019,815,204,25.0
Aligarh,Murder,2022,906,1019,-113,-11.1
Aligarh,Murder,2023,177,906,-729,-80.5
Aligarh,Rape,2015,1099,742,357,48.1
Aligarh,Rape,2016,705,1099,-394,-35.9
Aligarh,Rape,2017,440,705,-265,-37.6
Aligarh,Rape,2018,519,440,79,18.0
Aligarh,Rape,2019,713,519,194,37.4
Aligarh,Rape,2020,450,713,-263,-36.9
Aligarh,Rape,2021,379,450,-71,-15.8
Aligarh,Rape,2022,780,379,401,105.8
Aligarh,Rape,2023,144,780,-636,-81.5
Aligarh,Robbery,2015,267,773,-506,-65.5
Aligarh,Robbery,2016,361,267,94,35.2
Aligarh,Robbery,2017,768,361,407,112.7
Aligarh,Robbery,2018,924,768,156,20.3
Aligarh,Robbery,2019,999,924,75,8.1
Aligarh,Robbery,2020,580,999,-419,-41.9
Aligarh,Robbery,2021,958,580,378,65.2
Aligarh,Robbery,2022,148,958,-810,-84.6
Aligarh,Robbery,2023,1185,148,1037,700.7
Aligarh,SLL Crimes,2018,5561,4254,1307,30.7
Aligarh,SLL Crimes,2019,4298,5561,-1263,-22.7
Aligarh,SLL Crimes,2020,3446,4298,-852,-19.8
Aligarh,SLL Crimes,2021,12242,3446,8796,255.3
Aligarh,SLL Crimes,2022,8789,12242,-3453,-28.2
Aligarh,SLL Crimes,2023,8671,8789,-118,-1.3
Aligarh,Theft,2015,345,934,-589,-63.1
Aligarh,Theft,2016,1113,345,768,222.6
Aligarh,Theft,2017,284,1113,-829,-74.5
Aligarh,Theft,2018,106,284,-178,-62.7
Aligarh,Theft,2019,648,106,542,511.3
Aligarh,Theft,2020,664,648,16,2.5
Aligarh,Theft,2021,339,664,-325,-48.9
Aligarh,Theft,2022,815,339,476,140.4
Aligarh,Theft,2023,856,815,41,5.0
Allahabad,Crimes Against STs,2016,0,9,-9,-100.0
Ambedkar Nagar,Crimes Against Children,2018,151,124,27,21.8
Ambedkar Nagar,Crimes Against Children,2019,51,151,-100,-66.2
Ambedkar Nagar,Crimes Against Children,2020,130,51,79,154.9
Ambedkar Nagar,Crimes Against Children,2021,173,130,43,33.1
Ambedkar Nagar,Crimes Against Children,2022,184,173,11,6.4
Ambedkar Nagar,Crimes Against Children,2023,161,184,-23,-12.5
Ambedkar Nagar,Crimes Against SCs,2018,9,132,-123,-93.2
Ambedkar Nagar,Crimes Against SCs,2019,175,9,166,1844.4
Ambedkar Nagar,Crimes Against SCs,2020,13,175,-162,-92.6
Ambedkar Nagar,Crimes Against SCs,2021,177,13,164,1261.5
Ambedkar Nagar,Crimes Against SCs,2022,288,177,111,62.7
Ambedkar Nagar,Crimes Against SCs,2023,269,288,-19,-6.6
Ambedkar Nagar,Crimes Against STs,2016,0,5,-5,-100.0
Ambedkar Nagar,Crimes Against STs,2018,0,0,0,
Ambedkar Nagar,Crimes Against STs,2019,0,0,0,
Ambedkar Nagar,Crimes Against STs,2020,0,0,0,
Ambedkar Nagar,Crimes Against STs,2021,0,0,0,
Ambedkar Nagar,Crimes Against STs,2022,0,0,0,
Ambedkar Nagar,Crimes Against STs,2023,0,0,0,
Ambedkar Nagar,Crimes Against Women,2018,328,269,59,21.9
Ambedkar Nagar,Crimes Against Women,2019,464,328,136,41.5
Ambedkar Nagar,Crimes Against Women,2020,458,464,-6,-1.3
Ambedkar Nagar,Crimes Against Women,2021,423,458,-35,-7.6
Ambedkar Nagar,Crimes Against Women,2022,614,423,191,45.2
Ambedkar Nagar,Crimes Against Women,2023,619,614,5,0.8
Ambedkar Nagar,Cyber Crimes,2019,118,46,72,156.5
Ambedkar Nagar,Cyber Crimes,2020,78,118,-40,-33.9
Ambedkar Nagar,Cyber Crimes,2021,34,78,-44,-56.4
Ambedkar Nagar,Cyber Crimes,2022,54,34,20,58.8
Ambedkar Nagar,Cyber Crimes,2023,101,54,47,87.0
Ambedkar Nagar,IPC Crimes,2018,1698,1817,-119,-6.5
Ambedkar Nagar,IPC Crimes,2019,3181,1698,1483,87.3
Ambedkar Nagar,IPC Crimes,2020,1847,3181,-1334,-41.9
Ambedkar Nagar,IPC Crimes,2021,2856,1847,1009,54.6
Ambedkar Nagar,IPC Crimes,2022,3654,2856,798,27.9
Ambedkar Nagar,IPC Crimes,2023,4058,3654,404,11.1
Ambedkar Nagar,Juvenile IPC,2019,0,0,0,
Ambedkar Nagar,Juvenile IPC,2020,0,0,0,
Ambedkar Nagar,Juvenile IPC,2021,0,0,0,
Ambedkar Nagar,Juvenile IPC,2022,0,0,0,
Ambedkar Nagar,Juvenile IPC,2023,0,0,0,
Ambedkar Nagar,Juvenile SLL,2019,0,0,0,
Ambedkar Nagar,Juvenile SLL,2020,0,0,0,
Ambedkar Nagar,Juvenile SLL,2021,0,0,0,
Ambedkar Nagar,Juvenile SLL,2022,0,0,0,
Ambedkar Nagar,Juvenile SLL,2023,0,0,0,
Ambedkar Nagar,Missing Persons,2019,0,0,0,
Ambedkar Nagar,Missing Persons,2020,0,0,0,
Ambedkar Nagar,Missing Persons,2021,89,0,89,inf
Ambedkar Nagar,Missing Persons,2022,129,89,40,44.9
Ambedkar Nagar,Missing Persons,2023,249,129,120,93.0
Ambedkar Nagar,SLL Crimes,2018,1157,666,491,73.7
Ambedkar Nagar,SLL Crimes,2019,1104,1157,-53,-4.6
Ambedkar Nagar,SLL Crimes,2020,1639,1104,535,48.5
Ambedkar Nagar,SLL Crimes,2021,1766,1639,127,7.7
Ambedkar Nagar,SLL Crimes,2022,4224,1766,2458,139.2
Ambedkar Nagar,SLL Crimes,2023,6637,4224,2413,57.1
Amethi,Crimes Against Children,2018,160,101,59,58.4
Amethi,Crimes Against Children,2019,135,160,-25,-15.6
Amethi,Crimes Against Children,2020,84,135,-51,-37.8
Amethi,Crimes Against Children,2021,87,84,3,3.6
Amethi,Crimes Against Children,2022,57,87,-30,-34.5
Amethi,Crimes Against Children,2023,47,57,-10,-17.5
Amethi,Crimes Against SCs,2018,289,204,85,41.7
Amethi,Crimes Against SCs,2019,272,289,-17,-5.9
Amethi,Crimes Against SCs,2020,290,272,18,6.6
Amethi,Crimes Against SCs,2021,346,290,56,19.3
Amethi,Crimes Against SCs,2022,267,346,-79,-22.8
Amethi,Crimes Against SCs,2023,214,267,-53,-19.9
Amethi,Crimes Against STs,2016,0,22,-22,-100.0
Amethi,Crimes Against STs,2018,0,0,0,
Amethi,Crimes Against STs,2019,0,0,0,
Amethi,Crimes Against STs,2020,0,0,0,
Amethi,Crimes Against STs,2021,0,0,0,
Amethi,Crimes Against STs,2022,0,0,0,
Amethi,Crimes Against STs,2023,0,0,0,
Amethi,Crimes Against Women,2018,618,387,231,59.7
Amethi,Crimes Against Women,2019,459,618,-159,-25.7
Amethi,Crimes Against Women,2020,313,459,-146,-31.8
Amethi,Crimes Against Women,2021,324,313,11,3.5
Amethi,Crimes Against Women,2022,297,324,-27,-8.3
Amethi,Crimes Against Women,2023,377,297,80,26.9
Amethi,Cyber Crimes,2019,97,32,65,203.1
Amethi,Cyber Crimes,2020,70,97,-27,-27.8
Amethi,Cyber Crimes,2021,53,70,-17,-24.3
Amethi,Cyber Crimes,2022,42,53,-11,-20.8
Amethi,Cyber Crimes,2023,15,42,-27,-64.3
Amethi,IPC Crimes,2018,3256,2083,1173,56.3
Amethi,IPC Crimes,2019,3580,3256,324,10.0
Amethi,IPC Crimes,2020,3694,3580,114,3.2
Amethi,IPC Crimes,2021,3626,3694,-68,-1.8
Amethi,IPC Crimes,2022,3258,3626,-368,-10.1
Amethi,IPC Crimes,2023,2744,3258,-514,-15.8
Amethi,Juvenile IPC,2019,4,4,0,0.0
Amethi,Juvenile IPC,2020,0,4,-4,-100.0
Amethi,Juvenile IPC,2021,0,0,0,
Amethi,Juvenile IPC,2022,0,0,0,
Amethi,Juvenile IPC,2023,0,0,0,
Amethi,Juvenile SLL,2019,0,0,0,
Amethi,Juvenile SLL,2020,0,0,0,
Amethi,Juvenile SLL,2021,0,0,0,
Amethi,Juvenile SLL,2022,0,0,0,
Amethi,Juvenile SLL,2023,0,0,0,
Amethi,Missing Persons,2019,0,0,0,
Amethi,Missing Persons,2020,0,0,0,
Amethi,Missing Persons,2021,60,0,60,inf
Amethi,Missing Persons,2022,65,60,5,8.3
Amethi,Missing Persons,2023,90,65,25,38.5
Amethi,SLL Crimes,2018,852,614,238,38.8
Amethi,SLL Crimes,2019,1389,852,537,63.0
Amethi,SLL Crimes,2020,2033,1389,644,46.4
Amethi,SLL Crimes,2021,1329,2033,-704,-34.6
Amethi,SLL Crimes,2022,1670,1329,341,25.7
Amethi,SLL Crimes,2023,1772,1670,102,6.1
Amroha,Crimes Against Children,2018,99,94,5,5.3
Amroha,Crimes Against Children,2019,45,99,-54,-54.5
Amroha,Crimes Against Children,2020,60,45,15,33.3
Amroha,Crimes Against Children,2021,66,60,6,10.0
Amroha,Crimes Against Children,2023,77,66,11,16.7
Amroha,Crimes Against SCs,2018,81,46,35,76.1
Amroha,Crimes Against SCs,2019,63,81,-18,-22.2
Amroha,Crimes Against SCs,2020,72,63,9,14.3
Amroha,Crimes Against SCs,2021,79,72,7,9.7
Amroha,Crimes Against SCs,2023,93,79,14,17.7
Amroha,Crimes Against STs,2016,0,2,-2,-100.0
Amroha,Crimes Against STs,2018,0,0,0,
Amroha,Crimes Against STs,2019,0,0,0,
Amroha,Crimes Against STs,2020,0,0,0,
Amroha,Crimes Against STs,2021,0,0,0,
Amroha,Crimes Against STs,2023,0,0,0,
Amroha,Crimes Against Women,2018,464,641,-177,-27.6
Amroha,Crimes Against Women,2019,404,464,-60,-12.9
Amroha,Crimes Against Women,2020,424,404,20,5.0
Amroha,Crimes Against Women,2021,497,424,73,17.2
Amroha,Crimes Against Women,2023,474,497,-23,-4.6
Amroha,Cyber Crimes,2019,26,28,-2,-7.1
Amroha,Cyber Crimes,2020,41,26,15,57.7
Amroha,Cyber Crimes,2021,31,41,-10,-24.4
Amroha,Cyber Crimes,2023,46,31,15,48.4
Amroha,IPC Crimes,2018,2398,2298,100,4.4
Amroha,IPC Crimes,2019,2779,2398,381,15.9
Amroha,IPC Crimes,2020,2946,2779,167,6.0
Amroha,IPC Crimes,2021,2698,2946,-248,-8.4
Amroha,IPC Crimes,2023,3954,2698,1256,46.6
Amroha,Juvenile IPC,2019,0,0,0,
Amroha,Juvenile IPC,2020,0,0,0,
Amroha,Juvenile IPC,2021,0,0,0,
Amroha,Juvenile IPC,2023,20,0,20,inf
Amroha,Juvenile SLL,2019,0,0,0,
Amroha,Juvenile SLL,2020,0,0,0,
Amroha,Juvenile SLL,2021,0,0,0,
Amroha,Juvenile SLL,2023,5,0,5,inf
Amroha,Missing Persons,2019,0,0,0,
Amroha,Missing Persons,2020,0,0,0,
Amroha,Missing Persons,2021,43,0,43,inf
Amroha,Missing Persons,2023,107,43,64,148.8
Amroha,SLL Crimes,2018,2589,2310,279,12.1
Amroha,SLL Crimes,2019,2839,2589,250,9.7
Amroha,SLL Crimes,2020,2405,2839,-434,-15.3
Amroha,SLL Crimes,2021,2893,2405,488,20.3
Amroha,SLL Crimes,2023,6202,2893,3309,114.4
Auraiya,Crimes Against Children,2018,255,107,148,138.3
Auraiya,Crimes Against Children,2019,195,255,-60,-23.5
Auraiya,Crimes Against Children,2020,126,195,-69,-35.4
Auraiya,Crimes Against Children,2021,122,126,-4,-3.2
Auraiya,Crimes Against Children,2022,145,122,23,18.9
Auraiya,Crimes Against Children,2023,145,145,0,0.0
Auraiya,Crimes Against SCs,2018,181,172,9,5.2
Auraiya,Crimes Against SCs,2019,146,181,-35,-19.3
Auraiya,Crimes Against SCs,2020,150,146,4,2.7
Auraiya,Crimes Against SCs,2021,192,150,42,28.0
Auraiya,Crimes Against SCs,2022,221,192,29,15.1
Auraiya,Crimes Against SCs,2023,229,221,8,3.6
Auraiya,Crimes Against STs,2016,0,0,0,
Auraiya,Crimes Against STs,2018,0,0,0,
Auraiya,Crimes Against STs,2019,0,0,0,
Auraiya,Crimes Against STs,2020,0,0,0,
Auraiya,Crimes Against STs,2021,0,0,0,
Auraiya,Crimes Against STs,2022,0,0,0,
Auraiya,Crimes Against STs,2023,0,0,0,
Auraiya,Crimes Against Women,2018,641,481,160,33.3
Auraiya,Crimes Against Women,2019,569,641,-72,-11.2
Auraiya,Crimes Against Women,2020,459,569,-110,-19.3
Auraiya,Crimes Against Women,2021,558,459,99,21.6
Auraiya,Crimes Against Women,2022,678,558,120,21.5
Auraiya,Crimes Against Women,2023,674,678,-4,-0.6
Auraiya,Cyber Crimes,2019,53,53,0,0.0
Auraiya,Cyber Crimes,2020,39,53,-14,-26.4
Auraiya,Cyber Crimes,2021,34,39,-5,-12.8
Auraiya,Cyber Crimes,2022,71,34,37,108.8
Auraiya,Cyber Crimes,2023,75,71,4,5.6
Auraiya,IPC Crimes,2018,2743,2523,220,8.7
Auraiya,IPC Crimes,2019,2494,2743,-249,-9.1
Auraiya,IPC Crimes,2020,2528,2494,34,1.4
Auraiya,IPC Crimes,2021,2703,2528,175,6.9
Auraiya,IPC Crimes,2022,3330,2703,627,23.2
Auraiya,IPC Crimes,2023,3690,3330,360,10.8
Auraiya,Juvenile IPC,2019,10,54,-44,-81.5
Auraiya,Juvenile IPC,2020,5,10,-5,-50.0
Auraiya,Juvenile IPC,2021,27,5,22,440.0
Auraiya,Juvenile IPC,2022,0,27,-27,-100.0
Auraiya,Juvenile IPC,2023,0,0,0,
Auraiya,Juvenile SLL,2019,1,5,-4,-80.0
Auraiya,Juvenile SLL,2020,5,1,4,400.0
Auraiya,Juvenile SLL,2021,5,5,0,0.0
Auraiya,Juvenile SLL,2022,0,5,-5,-100.0
Auraiya,Juvenile SLL,2023,0,0,0,
Auraiya,Missing Persons,2019,0,0,0,
Auraiya,Missing Persons,2020,0,0,0,
Auraiya,Missing Persons,2021,40,0,40,inf
Auraiya,Missing Persons,2022,51,40,11,27.5
Auraiya,Missing Persons,2023,145,51,94,184.3
Auraiya,SLL Crimes,2018,2370,1273,1097,86.2
Auraiya,SLL Crimes,2019,2877,2370,507,21.4
Auraiya,SLL Crimes,2020,3441,2877,564,19.6
Auraiya,SLL Crimes,2021,1963,3441,-1478,-43.0
Auraiya,SLL Crimes,2022,1629,1963,-334,-17.0
Auraiya,SLL Crimes,2023,3799,1629,2170,133.2
Ayodhya,Assault,2015,215,40,175,437.5
Ayodhya,Assault,2016,425,215,210,97.7
Ayodhya,Assault,2017,737,425,312,73.4
